autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"large pink stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"small green stars, pink square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,big triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"small green pentagons, black square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"large black triangles, blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"large blue triangles, black circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"2 blue square, green triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (self-identified),5aeb063b2f05b500013028a0,5 sides,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (self-identified),5aeb063b2f05b500013028a0,big 5 sides,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (self-identified),5aeb063b2f05b500013028a0,4 sides,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (self-identified),5aeb063b2f05b500013028a0,big round,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (self-identified),5aeb063b2f05b500013028a0,3 sides,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (self-identified),5aeb063b2f05b500013028a0,small 3 sides,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (self-identified),5aeb063b2f05b500013028a0,round,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (self-identified),5aeb063b2f05b500013028a0,big blue ,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (self-identified),5aeb063b2f05b500013028a0,4 sides,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (self-identified),5aeb063b2f05b500013028a0,big 4 sides,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (self-identified),5aeb063b2f05b500013028a0, 4 sides,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (self-identified),5aeb063b2f05b500013028a0,small 5 sides,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (self-identified),5aeb063b2f05b500013028a0,round,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (self-identified),5aeb063b2f05b500013028a0,black sparkle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (self-identified),5aeb063b2f05b500013028a0,sparkle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (self-identified),5aeb063b2f05b500013028a0,small sparkles,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (self-identified),5aeb063b2f05b500013028a0,sparkle,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (self-identified),5aeb063b2f05b500013028a0,big 3 sides,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (self-identified),5aeb063b2f05b500013028a0,5 sides,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (self-identified),5aeb063b2f05b500013028a0,black 3 sides,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (self-identified),5aeb063b2f05b500013028a0,round,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (self-identified),5aeb063b2f05b500013028a0,black round,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (self-identified),5aeb063b2f05b500013028a0,3 sides,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (self-identified),5aeb063b2f05b500013028a0,blue 4 sides,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,big pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"small squares, star",square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"large circles, star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"triangles, square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"green triangles, star","small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"large circles, triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,big blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"2 squares, star","big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"2 squares, pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"small pentagons, circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"2 circles, square",circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,black stars ,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,large pink stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"small stars, square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"small pentagons, square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,large black triangle,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"big triangles, circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),5c6bf838cf89090001941c12,"blue squares, triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,pink 5 sides,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two big 5 edges,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two small green 4 edges,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two big pink round ,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two 3 edges,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two green 3 edges,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,big pink round x2,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,blue black 5 points,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,blue 4 sides twice,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two green 4 side,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two black 4 edges,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two small black 5 edges,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,2 round,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two black 5 points,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,2 pink star,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,small green stars x2,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,5 points twice,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two big green 3 edges,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two green 5 sides,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,black 3 edges twice,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
